value,pj_mean,pj_std,method,networks,nodes,seed
0.0,0.0908,0.0179,best-response,20,1000,42
1.0,0.1393,0.0156,best-response,20,1000,42
2.0,0.0000,0.0000,best-response,20,1000,42
3.0,0.0000,0.0000,best-response,20,1000,42
4.0,0.0000,0.0000,best-response,20,1000,42
5.0,0.0000,0.0000,best-response,20,1000,42
6.0,0.0000,0.0000,best-response,20,1000,42
7.0,0.0000,0.0000,best-response,20,1000,42
8.0,0.0000,0.0000,best-response,20,1000,42
9.0,0.0000,0.0000,best-response,20,1000,42
10.0,0.0000,0.0000,best-response,20,1000,42
