value,pj_mean,pj_std,method,networks,nodes,seed
0.0,0.1407,0.0280,best-response,20,1000,42
1.0,0.1393,0.0156,best-response,20,1000,42
2.0,0.1468,0.0250,best-response,20,1000,42
3.0,0.1450,0.0219,best-response,20,1000,42
4.0,0.1386,0.0236,best-response,20,1000,42
5.0,0.1435,0.0254,best-response,20,1000,42
6.0,0.1440,0.0238,best-response,20,1000,42
7.0,0.1490,0.0161,best-response,20,1000,42
8.0,0.1271,0.0173,best-response,20,1000,42
9.0,0.1335,0.0253,best-response,20,1000,42
10.0,0.1398,0.0223,best-response,20,1000,42
