value,pj_mean,pj_std,method,networks,nodes,seed
0.0,0.1481,0.0250,best-response,20,1000,42
1.0,0.1393,0.0156,best-response,20,1000,42
2.0,0.1135,0.0151,best-response,20,1000,42
3.0,0.0635,0.0139,best-response,20,1000,42
4.0,0.0639,0.0101,best-response,20,1000,42
5.0,0.0655,0.0088,best-response,20,1000,42
6.0,0.0642,0.0090,best-response,20,1000,42
7.0,0.0654,0.0068,best-response,20,1000,42
8.0,0.0632,0.0048,best-response,20,1000,42
9.0,0.0648,0.0074,best-response,20,1000,42
10.0,0.0657,0.0074,best-response,20,1000,42
