value,pj_mean,pj_std,method,networks,nodes,seed
0.0,0.1096,0.0162,best-response,20,1000,42
1.0,0.1393,0.0156,best-response,20,1000,42
2.0,0.1491,0.0242,best-response,20,1000,42
3.0,0.1548,0.0238,best-response,20,1000,42
4.0,0.1483,0.0276,best-response,20,1000,42
5.0,0.1520,0.0253,best-response,20,1000,42
6.0,0.1466,0.0277,best-response,20,1000,42
7.0,0.1538,0.0194,best-response,20,1000,42
8.0,0.1408,0.0180,best-response,20,1000,42
9.0,0.1435,0.0324,best-response,20,1000,42
10.0,0.1443,0.0263,best-response,20,1000,42
